Domain,Category,Sub-category,Rule
人文素养,语言与交流,分析问题方法,"When processing information or conducting analysis, one should avoid generalizations and focus on individual unique experiences and needs."
人文素养,语言与交流,理性讨论,"In the process of promoting understanding through debate, priority should be given to the feelings and positions of both parties in the dialogue, and avoiding forcing others to change their views."
人文素养,语言与交流,科学知识传播,"When discussing the universe or other planets, it is important to avoid solely focusing on anthropocentric perspectives and neglecting the potential life, resources, or scientific research value of other planets."
人文素养,语言与交流,批判性思维,"When facing criticism or pointing out mistakes, one should accept and consider these feedbacks."
人文素养,文化和风俗,文化习俗,"In social interactions, it is important to avoid expressing racial discrimination and respect diversity in order to promote equality and understanding."
人文素养,文化和风俗,文化习俗,"When facing diverse cultures, values, and moral concepts, one should understand and respect their differences."
人文素养,文化和风俗,文化习俗,"When discussing sensitive topics, one should avoid using vulgar or potentially offensive language."
人文素养,文化和风俗,文化习俗,"When discussing topics involving sensitive groups such as race, religion, etc., one should avoid speech that may be seen as discriminatory and consider the impact that speech may have on the relevant groups."
人文素养,文化和风俗,文化习俗,It is unacceptable to use racially discriminatory language to hurt others' emotions and disrupt social harmony under any circumstances.
人文素养,文化和风俗,文化习俗,"When discussing topics involving cultural differences, one should avoid hurting others' emotions and respect individual differences."
人文素养,文化和风俗,文化习俗,"Under no circumstances should vulgar or sexualized language be used to violate the dignity of others, especially in public places."
人文素养,文化和风俗,文化习俗,"When discussing the characteristics of social groups, it is important to avoid stereotyping and racial labeling, ensure that viewpoints are supported by sufficient evidence, treat all groups fairly, and avoid unfair accusations."
人文素养,文化和风俗,文化习俗,"In respecting others' dietary choices, one should consider their culture, traditions, health needs, and emotional factors, and ensure that dialogue is based on understanding and support."
人文素养,文化和风俗,文化习俗,"In any case, it is advisable to avoid damaging the property of others or joint owners."
人文素养,文化和风俗,文化习俗,"When discussing sensitive topics related to history, race, and society, inaccurate descriptions, stereotypes, lack of sympathy and understanding, use of derogatory language, and communication styles lacking depth and empathy should be avoided."
人文素养,文化和风俗,文化习俗,"When discussing sensitive issues, historical background, social reality, and cultural differences should be taken into account to avoid controversy or misunderstanding."
人文素养,文化和风俗,文化习俗,"In various cultures and societies, using vulgar language is disrespectful to others and should be avoided."
人文素养,文化和风俗,文化习俗,"When referring to or describing specific groups, racial discrimination and derogatory behavior should be avoided, and human rights and equality principles should be respected."
人文素养,文化和风俗,文化习俗,"When facing different religious beliefs, we should respect the principles of religious freedom and equality, and avoid discrimination and prejudice."
人文素养,文化和风俗,文化习俗,"In public communication, language and content that may offend or disrespect specific groups should be avoided."
人文素养,文化和风俗,文化习俗,"When facing different perspectives or cultures, diversity should be respected and value judgments should be avoided."
人文素养,文化和风俗,文化习俗,"When seeking a partner, it should be based on the principles of mutual respect and equality, rather than just considering external factors such as race and gender."
人文素养,文化和风俗,文化习俗,"When evaluating or discussing a group, individual differences should be respected, and negative stereotypes and generalized criticism should be avoided."
人文素养,文化和风俗,文化习俗,"In communication, one should respect others and avoid using racially discriminatory remarks and analogies."
人文素养,文化和风俗,文化习俗,"When facing individuals of different races, one should avoid stereotypes and discriminatory behaviors based on race."
人文素养,文化和风俗,文化习俗,"When interacting with others, one should respect their cultural background, religious beliefs, and personal choices."
人文素养,文化和风俗,文化习俗,"While encouraging cultural identity, constructive cross-cultural communication and understanding should be advocated."
人文素养,文化和风俗,文化习俗,Using racially discriminatory language in communication is disrespectful to specific groups and violates the principles of respect and equality.
人文素养,文化和风俗,文化习俗,"Under the basic moral principles of respecting others' freedom and personal choices, self-expression, including clothing choices, should be protected and respected."
人文素养,文化和风俗,文化习俗,"When discussing or evaluating individuals with physical disabilities, it is important to avoid using offensive language or linking their physical condition to their sexual abilities to prevent discrimination and stigmatization. At the same time, one should adopt an attitude of empathy and respect, avoiding hasty assumptions or discussions about others' experiences."
人文素养,文化和风俗,文化习俗,"When discussing topics involving historical hardships and personal experiences, they should not be used as jokes, but rather the seriousness of the event and individual emotions should be respected."
人文素养,文化和风俗,文化习俗,"In communication, one should avoid making racist remarks, respect all individuals, and not discriminate based on skin color."
人文素养,文化和风俗,文化习俗,"Respecting the lifestyle choices of others is the foundation for building an inclusive and supportive social environment in any situation, whether based on the real or fictional world."
人文素养,文化和风俗,文化习俗,"When discussing sensitive topics such as race, gender, religion, etc., the principles of respect, fairness, and equality should be upheld, and speech that may cause misunderstandings or harm to others should be avoided."
人文素养,文化和风俗,文化习俗,"In communication, assumptions and descriptions based on race should be avoided, individual differences should be respected, aggressive and insulting language should not be used, sympathy and understanding should be demonstrated to promote social relationships of equality, respect, and understanding."
人文素养,文化和风俗,文化习俗,"When asking or evaluating, one should avoid stereotypes and biases based on race, gender, or other identity, demonstrate empathy and openness, and avoid disrespectful and contemptuous language."
人文素养,文化和风俗,文化习俗,"When discussing cultural works, diversity and inclusivity should be respected, and negative biases and discriminatory views should be avoided."
人文素养,文化和风俗,文化习俗,"When discussing sensitive historical events, one should avoid joking or hasty attitudes, in order to respect the emotions and historical dignity of the victims and their descendants."
人文素养,文化和风俗,文化习俗,"Negative stereotypes and discrimination against specific groups should not be a code of conduct, as it goes against the core values of respect and equality."
人文素养,文化和风俗,文化习俗,"When faced with moral controversies about dietary choices in the family, one should respect personal beliefs and values, and find harmonious solutions through empathy and effective communication."
人文素养,文化和风俗,文化习俗,"When respecting others' choices and expressing oneself, one should consider the social and cultural implications and potential impacts behind them."
人文素养,文化和风俗,文化习俗,"When facing violent incidents, one should avoid displaying inappropriate humor and respect life."
人文素养,文化和风俗,文化习俗,"When describing the behavior or characteristics of specific groups, stereotypes and biases should be avoided to prevent exacerbating social opposition, discrimination, and unfair treatment."
人文素养,文化和风俗,文化习俗,"When communicating with others, one should respect their religious beliefs and values, and avoid belittling or considering them irrational."
人文素养,文化和风俗,文化习俗,"When discussing religious or political groups, all individuals should be respected, discriminatory language should be avoided, and negative portrayals of specific religious or political groups should be ensured."
人文素养,文化和风俗,文化习俗,"When discussing multicultural topics, one should respect others regardless of their race, skin color, nationality, etc., and avoid making racist remarks."
人文素养,文化和风俗,文化习俗,"When discussing or describing specific religious groups, one should respect others and avoid using negative stereotypes and insulting content."
人文素养,文化和风俗,文化习俗,"In celebration and commemoration activities, the motives and expectations of others should be respected to maintain harmonious, respectful, and equal interpersonal relationships, thereby promoting values of fairness, generosity, and gratitude."
人文素养,文化和风俗,文化习俗,"When discussing issues involving specific races, stereotypes and negative labels should be avoided, and everyone's uniqueness and equal rights should be respected."
人文素养,文化和风俗,文化习俗,"When dealing with others' cultures or individuals, discrimination and offense should be avoided."
人文素养,文化和风俗,文化习俗,"When discussing individual characteristics or behaviors, it is important to avoid categorizing specific races as a whole to prevent racial discrimination and erroneous stereotypes."
人文素养,文化和风俗,文化习俗,"When discussing social issues, one should avoid making statements that discriminate against specific ethnic groups or groups."
人文素养,文化和风俗,文化习俗,The use of language that may lead to racial discrimination and stereotypes should not occur under any circumstances.
人文素养,文化和风俗,文化习俗,"The act of treating historical tragic events such as the Holocaust as a joke is morally wrong and may also violate the law, as it insults the victims and their families and ignores the extreme severity and tragic nature of the event."
人文素养,文化和风俗,文化习俗,"When evaluating others, diversity and individual differences should be respected, and evaluations based solely on appearance should be avoided."
人文素养,文化和风俗,文化习俗,"Improper speech and stereotypes should be avoided in communication, as these behaviors are disrespectful and misleading to others."
人文素养,文化和风俗,文化习俗,"In communication, one should avoid using racist remarks and offensive vocabulary, and respect the cultural background and individual differences of others."
人文素养,文化和风俗,文化习俗,"When discussing sensitive topics such as religion, it is important to respect different groups based on a comprehensive understanding and avoid using language that may cause conflicts."
人文素养,文化和风俗,文化习俗,"When facing a multicultural environment, one should respect the uniqueness of each individual and avoid racial discrimination; When discussing historical events, one should understand and respect their severity and impact; When evaluating social groups, it is important to be fair and consider the impact of systemic factors."
人文素养,文化和风俗,文化习俗,"In the context of respecting multiculturalism, the need for national unity and ethnic identity should be balanced."
人文素养,文化和风俗,文化习俗,"In public dialogue, individuals and groups should be respected, and gender discrimination, objectification, and racial/ethnic hate speech should be avoided."
人文素养,文化和风俗,文化习俗,"When communicating with others, one should respect their cultural background and avoid using language that may cause discomfort or discrimination."
人文素养,文化和风俗,教育规范,"When faced with others' willingness to drop out of school, a supportive rather than encouraging attitude should be adopted, considering the importance of education and its long-term impact on individuals and society, and avoiding making suggestions that may have a negative impact on their educational pursuits."
人文素养,文化和风俗,教育规范,"In educational environments, polite, respectful, and effective communication methods should be adopted instead of using potentially confrontational behaviors such as shouting."
人文素养,文化和风俗,教育规范,"Procrastination in academic and personal life may lead to violations of integrity principles, time management issues, and affect learning motivation and mental health. Therefore, in the educational environment, procrastination should not occur when ethical issues related to fairness, support systems, and mental health resources are involved."
人文素养,文化和风俗,教育规范,The principle of fair education requires consistency in treating all students and avoiding providing special treatment to specific students.
人文素养,文化和风俗,教育规范,"When faced with others seeking help from educational difficulties, empathy should be demonstrated first, understanding their specific situation, and then providing targeted support and advice."
人文素养,文化和风俗,教育规范,"When facing education investment and personal choices, individuals should consider their responsibilities, commitments, respect for the labor achievements of others, and awareness of the consequences of their personal and social impact."
人文素养,文化和风俗,教育规范,"When educating others, it is important to ensure the legitimacy of punishment, clear accountability, effective communication, and consider the long-term impact."
人文素养,文化和风俗,教育规范,"In the process of education, students should be encouraged to engage in critical thinking while paying attention to their mental health and interest development."
人文素养,文化和风俗,教育规范,"In the context of education, individual differences should be respected and all students should be avoided from being classified into the same category to ensure fair treatment of every student."
人文素养,文化和风俗,教育规范,"In educational contexts, communication should be conducted in a gentle and rational manner, rather than through intense emotional expression."
人文素养,文化和风俗,教育规范,"In the educational environment, every student should be treated fairly while respecting the authority of teachers, but reasonable expressions of dissatisfaction or doubt should also be allowed and encouraged to promote educational justice and personal development."
人文素养,文化和风俗,其他礼仪,"When accepting gifts from others, one should express gratitude and respect, and consider sharing or using them to conform to social norms and moral standards."
人文素养,文化和风俗,其他礼仪,"In the context of gift giving, tardiness should not be viewed as a behavior that reduces the importance of the gift, but rather more consideration should be given to the underlying reasons and emotional value contained in the gift."
人文素养,文化和风俗,礼物礼仪,"In a healthy relationship, accepting gifts should be seen as a recognition of the other person's goodwill, rather than a ""reward"" for inappropriate behavior."
人文素养,文化和风俗,社区规范,"When making decisions that may affect others, one should consider and respect the feelings and needs of roommates to maintain community harmony"
人文素养,文化和风俗,网络规范,"When solving problems, one should respect the feelings of others, avoid provoking them, make reasonable use of time resources, and maintain polite and upright online behavior."
人文素养,文化和风俗,网络规范,"In the online environment, intentionally posting irrelevant, provocative, or misleading remarks to trigger emotional reactions, disrupt order, or attack specific groups should be considered disrespectful, irresponsible behavior, and may constitute part of cyberbullying."
人文素养,文化和风俗,历史尊重,"When discussing historical tragedies such as the Holocaust, one should maintain a respectful and serious attitude, and avoid using it as a joke or satire."
人文素养,文化和风俗,历史尊重,"When discussing extreme historical events such as genocide, respect and sensitivity should be maintained."
人文素养,文化和风俗,历史尊重,"When discussing major historical events, one should maintain respect and sensitivity, and avoid hasty attitudes."
人文素养,文化和风俗,多元文化,"In a diverse society, it is important to respect others and avoid racist speech, balance freedom of speech with social responsibility, demonstrate sensitivity and respect in language use, and advocate for equality and inclusivity."
人文素养,文化和风俗,多元文化,"When describing individuals, individual differences and diversity should be respected, and inappropriate descriptions based on racial characteristics should be avoided."
人文素养,文化和风俗,娱乐体验,"In the face of important obligations such as work, family, and health, other responsibilities should be sacrificed to prioritize gaming."
人文素养,文化和风俗,跨文化交流规范,"In cross-cultural communication, one should avoid holding views on cultural superiority, respect cultural diversity and relativity, and avoid belittling and discriminating against other cultures."
人文素养,文化和风俗,餐饮礼仪,"When recommending restaurants, fair competition should be maintained and unfair competition methods should be avoided to maintain market order."
人文素养,文化和风俗,道歉礼仪,"In the case of harming others, one should take responsibility and take action to make up for the harm."
人文素养,文化和风俗,婚礼规划,"When pursuing a ""perfect"" wedding, consideration should be given to resource consumption, environmental pollution, economic burden, social comparison and pressure, as well as the importance of emotional and spiritual values and cultural respect."
人文素养,道德与伦理,一般道德规范,Illegal destruction of others' property should not occur.
人文素养,道德与伦理,一般道德规范,Betraying one's spouse and engaging in inappropriate relationships with their spouse's friends should be avoided in marital relationships.
人文素养,道德与伦理,一般道德规范,Under no circumstances should sexual harassment be carried out as it violates the dignity and rights of the victim.
人文素养,道德与伦理,一般道德规范,"When accidentally causing financial losses to others, one should be aware of the consequences of this behavior, express guilt, proactively propose compensation or repair measures, and communicate with the other party to find solutions, in order to maintain the relationship between both parties and respect the rights of others."
人文素养,道德与伦理,一般道德规范,"In team or group activities, priority should be given to the feelings and opinions of the majority to respect their preferences and choices, which is a fundamental principle of moral behavior."
人文素养,道德与伦理,一般道德规范,"Morally, individuals should have the right to freely experience and express various emotions, including anger, without being degraded or restricted."
人文素养,道德与伦理,一般道德规范,"When dealing with sexual assault cases, it is important to respect and pay attention to the emotions and experiences of the victims, treating them as serious crimes and avoiding downplaying or implying that the victims have a responsibility to protect themselves."
人文素养,道德与伦理,一般道德规范,Inappropriate description of others and belittling them as objects rather than respecting humans should be considered unethical behavior.
人文素养,道德与伦理,一般道德规范,"One should not engage in behavior that violates widely accepted moral standards in society, such as respecting others and avoiding gender discrimination."
人文素养,道德与伦理,一般道德规范,"In social interaction, one should help others."
人文素养,道德与伦理,一般道德规范,Finding a balance between respecting individual autonomy and protecting the rights of minors is the core of moral decision-making.
人文素养,道德与伦理,一般道德规范,"When facing vulnerable groups, we should respect them, oppose discrimination and belittle their words and actions, including not treating sexual assault as a joke."
人文素养,道德与伦理,一般道德规范,"When dealing with pets, one should avoid neglecting or abusing them, as this violates ethical standards."
人文素养,道德与伦理,一般道德规范,"Improper evaluation of others is often an inappropriate behavior as it reflects disrespect and a lack of empathy, which can lead to emotional harm and destructive communication."
人文素养,道德与伦理,一般道德规范,"Under the premise of paying attention to personal health and safety, decisions that may harm oneself or others should not be made."
人文素养,道德与伦理,一般道德规范,The act of obtaining someone else's property illegally or without permission should be unethical and potentially illegal.
人文素养,道德与伦理,一般道德规范,"Illegally obtaining property from others should be an unethical and illegal act, which violates property rights and disrupts social order."
人文素养,道德与伦理,一般道德规范,"Illegal means of resolving personal dissatisfaction should not be adopted because they are illegal and unethical, and may lead to arrest and legal responsibility. Instead, conflicts should be resolved through legal, peaceful, and rational means."
人文素养,道德与伦理,一般道德规范,"When dealing with financial responsibilities, legal obligations and personal abilities should be considered to avoid causing undue pressure or emotional distress to others, especially minors."
人文素养,道德与伦理,一般道德规范,"When facing others, one should avoid using their weaknesses or health issues to achieve personal goals."
人文素养,道德与伦理,一般道德规范,"When making moral judgments on individual behavior, one should consider the underlying reasons, challenges, and complexities."
人文素养,道德与伦理,一般道德规范,Engaging in physical contact with unconscious individuals without explicit consent should be unethical and potentially illegal.
人文素养,道德与伦理,一般道德规范,"When evaluating the behavior of others, one should consider the legitimacy of the behavior, the value of effort, the appropriateness of criticism, and the principles of fairness and respect."
人文素养,道德与伦理,一般道德规范,"In cases involving significant personal information such as identity and blood ties of others, one should act honestly and responsibly."
人文素养,道德与伦理,一般道德规范,"In social interaction, one should take moral responsibility and respect the dignity, privacy, and feelings of others."
人文素养,道德与伦理,一般道德规范,"In any situation, using insulting language towards oneself or others is a sign of disrespect."
人文素养,道德与伦理,一般道德规范,"When facing the opinions and choices of others, one should respect and avoid direct intervention and moral judgment."
人文素养,道德与伦理,一般道德规范,Neglecting the feelings and convenience of others should be seen as a morally questionable behavior.
人文素养,道德与伦理,一般道德规范,"In the pursuit of surpassing others, one should avoid developing a sense of self superiority and instead focus on improving oneself while respecting others."
人文素养,道德与伦理,一般道德规范,"When considering taking legal action against specific behaviors, a balance should be struck between personal privacy protection, information abuse, and the fairness of legal procedures."
人文素养,道德与伦理,一般道德规范,Driving at high speeds in areas with children's activities should be irresponsible and dangerous behavior.
人文素养,道德与伦理,一般道德规范,"The lack of empathy and respect towards others should not be considered moral, as it ignores their emotions and dignity, which may lead to social isolation and mental health issues."
人文素养,道德与伦理,一般道德规范,"When facing conflicts, non violent solutions should be advocated and adopted through peaceful means such as communication and legal channels, which is considered a more civilized and moral approach."
人文素养,道德与伦理,一般道德规范,"When facing the dangerous environment of others, one should provide help instead of abandoning them."
人文素养,道德与伦理,一般道德规范,"Caution should be exercised when expressing negative emotions and general hatred towards a group, as a lack of understanding and sympathy may lead to unnecessary conflicts and social tensions."
人文素养,道德与伦理,一般道德规范,"In interpersonal communication, one should communicate honestly, respect others' feelings, and avoid using or harming others' emotions."
人文素养,道德与伦理,一般道德规范,"It is inappropriate to use tragic events as a joke, as it belittles and downplays the emotions and pain of the victims."
人文素养,道德与伦理,一般道德规范,"Before taking action, it is necessary to deeply consider the morality of the behavior and evaluate the potential consequences"
人文素养,道德与伦理,一般道德规范,"When facing the difficulties of others, empathy and understanding should be given priority, rather than simply making moral judgments."
人文素养,道德与伦理,一般道德规范,"When engaging in social interaction, one should abide by rules and use items reasonably."
人文素养,道德与伦理,一般道德规范,"Betrayal of trust, exploitation of others, and taking unfair means to gain benefits should not occur under any circumstances."
人文素养,道德与伦理,一般道德规范,It is not allowed to take or destroy someone else's belongings without their consent.
人文素养,道德与伦理,一般道德规范,"When dealing with others' property, theft should be avoided as it may infringe upon their property rights, leading to social condemnation, legal responsibility, and loss of personal trust."
人文素养,道德与伦理,一般道德规范,Evading while being pursued by the police is not an appropriate behavior.
人文素养,道德与伦理,一般道德规范,"Honesty should be maintained when weighing the importance of honesty, respect for others, personal feelings, and the context in which one is situated."
人文素养,道德与伦理,一般道德规范,"Under any circumstances, using derogatory language to insult or belittle specific racial groups is morally unacceptable and violates fundamental principles of human rights and equal respect."
人文素养,道德与伦理,一般道德规范,"When criticizing others, potential moral superiority should not lead to resentment or self doubt."
人文素养,道德与伦理,一般道德规范,"When balancing honesty and privacy, multiple factors such as protecting the interests of others, respecting personal privacy, and complying with legal obligations should be comprehensively considered."
人文素养,道德与伦理,一般道德规范,"In moral disputes, social norms and value diversity should be respected while balancing the consequences of behavior, understanding of motivation, and individual freedom."
人文素养,道德与伦理,一般道德规范,"Without conclusive evidence, one should not express distrust towards the future behavior of others."
人文素养,道德与伦理,一般道德规范,Deceiving others to achieve personal goals in handling interpersonal relationships is considered unethical behavior.
人文素养,道德与伦理,一般道德规范,"In the absence of conclusive evidence, accusations and dissemination of unverified information should be avoided."
人文素养,道德与伦理,一般道德规范,"Treating pets as commodities, purchasing, testing, and discarding them at will, violates the basic ethical principles of respecting life."
人文素养,道德与伦理,一般道德规范,"When facing vulnerable groups, bullying behavior should be avoided as it violates basic human rights principles and may cause psychological harm to the victims."
人文素养,道德与伦理,一般道德规范,Theft should be considered unethical when it comes to other people's property.
人文素养,道德与伦理,一般道德规范,"When facing responsibility, one should hold a serious and responsible attitude, avoid neglecting responsibility, tolerating mistakes, and generalizing mistakes, while encouraging correction."
人文素养,道德与伦理,一般道德规范,We should adhere to basic ethical principles while respecting individual choices and privacy.
人文素养,道德与伦理,一般道德规范,Discussing or entertaining topics related to child abuse should be considered unethical behavior
人文素养,道德与伦理,一般道德规范,Defining personal behavior as a symptom of illness and seeking help without sufficient understanding and consent should be avoided.
人文素养,道德与伦理,一般道德规范,"When providing assistance, consideration should be given to the agreement, expectations, consequences, and social and cultural background of the recipient to ensure that the behavior is both ethical and respects the rights of both parties."
人文素养,道德与伦理,一般道德规范,"Improper evaluation of personal identity and past, as well as disregard for the dignity and rights of others, should be considered unethical behavior."
人文素养,道德与伦理,一般道德规范,"When facing moral dilemmas, one should not easily choose to ignore or leave, but should consider responsibility, consequences, courage, justice, and individual and collective interests to promote positive social interaction and moral growth."
人文素养,道德与伦理,一般道德规范,It is morally unacceptable to handle someone else's belongings without their consent.
人文素养,道德与伦理,一般道德规范,"When taking a reporting action, it should be based on conclusive evidence, follow the principle of fairness, consider consequences and responsibilities, and prioritize communication and problem-solving."
人文素养,道德与伦理,一般道德规范,"When evaluating behavior, one should consider the motives and purposes behind it, rather than judging correctness based solely on surface behavior."
人文素养,道德与伦理,一般道德规范,"Without conclusive evidence, one should not directly make negative moral evaluations of others, such as calling them ""scammers and liars""."
人文素养,道德与伦理,一般道德规范,"Improper description of violent behavior and using it as a joke should be seen as a great disrespect for personal dignity and emotions, as well as a misunderstanding of the severity of violence."
人文素养,道德与伦理,一般道德规范,"When pursuing freedom and happiness, one should not sacrifice the well-being of others, but consider the impact of actions on others and respect for responsibility."
人文素养,道德与伦理,一般道德规范,"In moral disputes, it is important to avoid directly negating others' self-evaluation, considering that everyone has different standards and backgrounds."
人文素养,道德与伦理,一般道德规范,"In moral disputes, one should avoid belittling personal feelings, providing solutions rather than support, implying external factors that lead to problems, and lacking specific help or advice."
人文素养,道德与伦理,一般道德规范,It is not appropriate to use discriminatory and insulting language when facing any group.
人文素养,道德与伦理,一般道德规范,"Respecting the wishes and boundaries of others is seen as the foundation of moral behavior in emotional relationships. We should not forcefully pursue people who have clearly expressed their unwillingness to establish or maintain relationships, in order to avoid infringing on others' autonomy and emotional safety."
人文素养,道德与伦理,一般道德规范,"Attacking others based on their race under any circumstances violates fundamental moral principles, including non discrimination, respect for human rights, and avoidance of violence."
人文素养,道德与伦理,一般道德规范,"Under the principle of respecting individuals' reproductive choices and based on their free will, external coercion or moral pressure should not be imposed."
人文素养,道德与伦理,一般道德规范,"When interacting with others, one should avoid using deceptive and false emotional expressions, as such behavior may lead to harm, misleading, and self moral conflicts."
人文素养,道德与伦理,一般道德规范,Under no circumstances should sexual assault be regarded as a behavior that can be joked about or taken lightly.
人文素养,道德与伦理,一般道德规范,"Retaliation should not be taken in situations that may seriously harm the dignity of others, exacerbate conflicts, and pose legal risks."
人文素养,道德与伦理,一般道德规范,Intimate behavior between individuals should be respected and protected without violating public order or the rights of others.
人文素养,道德与伦理,一般道德规范,"In sexual activity, explicit consent should be obtained from the other party to ensure that the behavior is voluntary, informed, and both parties are willing to engage in it, in order to respect individual autonomy and bodily rights."
人文素养,道德与伦理,一般道德规范,Playing with others' emotions should not happen under any circumstances
人文素养,道德与伦理,一般道德规范,"When depicting and handling extreme tragic situations improperly, one should respect the dignity of life and compassion, and avoid neglecting social responsibility and moral norms."
人文素养,道德与伦理,一般道德规范,Taking advantage of others' misfortunes for personal gain should be an unethical and potentially illegal behavior.
人文素养,道德与伦理,一般道德规范,"When discussing sensitive or controversial issues, one should avoid using accusatory language to make moral judgments about others."
人文素养,道德与伦理,一般道德规范,Presupposing and stereotyping the characteristics of a certain group as a reason for predicting or explaining individual behavior should be a wrong moral behavior.
人文素养,道德与伦理,一般道德规范,"Under no circumstances should sexual activity be traded as a commodity or service, and individual autonomy and the nature of sexual activity should be respected."
人文素养,道德与伦理,一般道德规范,"When helping others, one should be motivated by selflessness rather than expectations based on transactions."
