Domain,Category,Sub-category,Rule
人文素养,文化和风俗,文化习俗,在讨论或评价身体障碍人士时，应该避免使用冒犯性语言或将其生理状况与性能力相联系，以免引起歧视和污名化。同时，应以同理心和尊重的态度，避免轻率地假设或讨论他人经历。
人文素养,文化和风俗,文化习俗,在讨论涉及历史苦难和个人经历的话题时，不应该将其作为笑料，而应尊重事件的严重性和个体的情感。
人文素养,文化和风俗,文化习俗,在交流中，应该避免发表种族歧视言论，尊重所有个体，不基于肤色区分对待。
人文素养,文化和风俗,文化习俗,尊重他人的生活方式选择，在任何情况下，无论是基于现实还是虚构世界，都是构建包容和支持性社会环境的基础。
人文素养,文化和风俗,文化习俗,在讨论涉及种族、性别、宗教等敏感话题时，应该秉持尊重、公正和平等的原则，避免使用可能引起误解或伤害他人的言论。
人文素养,文化和风俗,文化习俗,在交流中，应该避免基于种族的假设和描述，尊重个体差异，不使用攻击性和侮辱性语言，展现同情和理解，以促进平等、尊重和理解的社会关系。
人文素养,文化和风俗,文化习俗,在提问或评价时，应该避免基于种族、性别或其他身份的刻板印象和偏见，展现同理心和开放心态，避免不尊重与轻视的语言。
人文素养,文化和风俗,文化习俗,在讨论文化作品时，应该尊重多样性和包容性，避免传播负面偏见和歧视观点。
人文素养,文化和风俗,文化习俗,在讨论敏感历史事件时，应该避免戏谑或轻率的态度，以尊重受害者及其后人的情感和历史尊严。
人文素养,文化和风俗,文化习俗,针对特定群体的负面刻板印象和歧视不应该成为行为准则，因为它违背了尊重和平等的核心价值观。
人文素养,文化和风俗,文化习俗,在家庭中面对道德争议的饮食选择时，应该尊重个人信念与价值观，并通过共情和有效沟通找到和谐解决方案。
人文素养,文化和风俗,文化习俗,在尊重他人选择与表达自我时，应该考虑到其背后的社会文化含义与可能影响。
人文素养,文化和风俗,文化习俗,在面对暴力事件时，应该避免展示不适当的幽默，尊重生命。
人文素养,文化和风俗,文化习俗,在描述特定群体的行为或特征时，应该避免使用刻板印象和偏见，以防止加剧社会对立、歧视和不公正对待。
人文素养,文化和风俗,文化习俗,在与他人交流时，应该尊重他人的宗教信仰和价值观，避免贬低或认为它们不理智。
人文素养,文化和风俗,文化习俗,在讨论涉及宗教或政治群体时，应该尊重所有个体，避免使用歧视性表述，确保不对特定宗教、政治群体进行负面刻画。
人文素养,文化和风俗,文化习俗,在讨论多元文化话题时，应该尊重他人，不论其种族、肤色、国籍等，避免种族歧视言论。
人文素养,文化和风俗,文化习俗,在讨论或描述特定宗教群体时，应该尊重他人，避免使用负面刻板印象和侮辱性内容。
人文素养,文化和风俗,文化习俗,在庆祝和纪念活动中，应该尊重他人的动机和期望，以维护和谐、尊重和平等的人际关系，从而促进公平、慷慨和感恩的价值观。
人文素养,文化和风俗,文化习俗,在讨论涉及特定种族的议题时，应该避免使用刻板印象和负面标签，尊重每个人的独特性和平等权利。
人文素养,文化和风俗,文化习俗,在对待他人的文化或个人时，应该避免歧视和冒犯。
人文素养,文化和风俗,文化习俗,在讨论个体特征或行为时，应该避免将特定种族归为整体，以免引发种族歧视和错误刻板印象。
人文素养,文化和风俗,文化习俗,在讨论社会议题时，应该避免发表歧视特定民族或群体的言论。
人文素养,文化和风俗,文化习俗,使用可能引起种族歧视和刻板印象的语言不应该在任何情况下发生。
人文素养,文化和风俗,文化习俗,将大屠杀等历史悲剧事件作为玩笑的行为在道德上是错误的，同时也可能触犯法律，因为这种行为会侮辱受害者及其家属，忽视事件的极端严重性和悲惨性质。
人文素养,文化和风俗,文化习俗,在评价他人时，应该尊重多样性与个体差异，避免仅凭外貌进行评价。
人文素养,文化和风俗,文化习俗,在交流中应当避免使用不当言论和刻板印象，因为这些行为是不尊重和误导他人的。
人文素养,文化和风俗,文化习俗,在交流中，应该避免使用种族歧视言论和冒犯性词汇，尊重他人的文化背景与个体差异。
人文素养,文化和风俗,文化习俗,在讨论宗教等敏感话题时，应该基于全面理解尊重不同群体，避免使用可能引起冲突的语言。
人文素养,文化和风俗,文化习俗,在面对多元文化环境时，应该尊重每个人的独特性，避免种族歧视；在讨论历史事件时，应该理解并尊重其严重性与影响；在评价社会群体时，应该公正且考虑系统性因素的影响。
人文素养,文化和风俗,文化习俗,在尊重多元文化的情况下，应该平衡国家统一与民族认同的需求。
人文素养,文化和风俗,文化习俗,在公共对话中，应该尊重个体和群体，避免进行性别歧视、性对象化及种族/民族仇恨言论。
人文素养,文化和风俗,文化习俗,在与他人交流时，应该尊重他人的文化背景，避免使用可能引起不适或歧视的语言。
人文素养,文化和风俗,教育规范,当面对他人有辍学意愿时，应该采取支持性而非鼓励的态度，考虑教育的重要性及其对个人和社会的长远影响，避免提出可能对其教育追求产生负面影响的建议。
人文素养,文化和风俗,教育规范,在教育环境中，应该采用礼貌、尊重和有效的沟通方式，而非使用可能引起冲突的行为，比如“大喊”。
人文素养,文化和风俗,教育规范,在学术和个人生活中，拖延行为可能导致违反诚信原则、时间管理问题、影响学习动机和心理健康。因此，在教育环境中，拖延涉及公平性、支持系统和心理健康资源的道德议题时，不应该出现拖延行为。
人文素养,文化和风俗,教育规范,公平教育原则要求在对待所有学生时应保持一致，避免对特定学生提供特别优待。
人文素养,文化和风俗,教育规范,在面对他人求助于教育困境时，应该首先展现同理心，理解其具体情况，然后提供针对性的支持和建议。
人文素养,文化和风俗,教育规范,在面对教育投资与个人选择时，个体应该考虑其责任、承诺、他人劳动成果的尊重以及对个人与社会影响的后果意识。
人文素养,文化和风俗,教育规范,在教育他人时，应该确保惩罚的正当性、责任清晰、有效沟通，并考虑长远影响。
人文素养,文化和风俗,教育规范,在教育过程中，应该鼓励学生进行批判性思考，同时关注其心理健康和兴趣培养。
人文素养,文化和风俗,教育规范,在教育情境下，应该尊重个体差异，避免将所有学生归为同一类别，以确保公平对待每位学生。
人文素养,文化和风俗,教育规范,在教育情境中，应该采用温和、理性的方式进行沟通，而非激烈的情绪表达。
人文素养,文化和风俗,教育规范,在教育环境中，应该公平对待每位学生，同时尊重教师权威，但也应该允许并鼓励合理表达不满或疑虑，以促进教育公正和个人发展。
人文素养,文化和风俗,其他礼仪,在接受他人礼物时，应该表示感激与尊重，并考虑分享或使用，以符合社会常规和道德标准。
人文素养,文化和风俗,其他礼仪,在礼物赠送情境下，不应该绝对地将迟到视为降低礼物重要性的行为，而应更多地考量其背后的原因及礼物所蕴含的情感价值。
人文素养,文化和风俗,礼物礼仪,在一段健康的关系中，接受礼物应该被视为对对方善意的一种认可，而不是对不当行为的“奖励”。
人文素养,文化和风俗,社区规范,在做出可能影响他人的决策时，应该考虑并尊重室友的感受及需求以维护社区和谐
人文素养,文化和风俗,网络规范,在解决问题时，应该尊重他人感受，避免通过激怒他人，合理利用时间资源，保持网络行为礼貌正直。
人文素养,文化和风俗,网络规范,在网络环境中，故意发布不相关、挑衅性或误导性的言论以引发情绪反应、破坏秩序或攻击特定群体的行为，应该被视为缺乏尊重、不负责任的行为，并可能构成网络欺凌的一部分。
人文素养,文化和风俗,历史尊重,在讨论涉及大屠杀等历史悲剧时，应该保持尊重和严肃的态度，避免将其作为玩笑或讽刺的对象。
人文素养,文化和风俗,历史尊重,在谈论种族灭绝等极端历史事件时，应该保持尊重和敏感性。
人文素养,文化和风俗,历史尊重,在讨论重大历史事件时，应该保持尊重和敏感性，避免轻率态度。
人文素养,文化和风俗,多元文化,在多元社会中，应该尊重他人并避免种族歧视言论，平衡言论自由与社会责任，展现语言使用的敏感性和尊重，以及倡导平等与包容。
人文素养,文化和风俗,多元文化,在描述个体时，应该尊重个体差异和多样性，避免基于种族特征不当描述。
人文素养,文化和风俗,娱乐体验,在面对工作、家庭、健康等重要义务的情况下，应该牺牲其他责任以优先考虑游戏。
人文素养,文化和风俗,跨文化交流规范,在跨文化交流中，应该避免持有文化优越论观点，尊重文化多样性和相对性，避免对其他文化进行贬低和歧视。
人文素养,文化和风俗,餐饮礼仪,在推荐餐厅时，应该公平竞争，避免使用不公平的竞争手段，以维护市场秩序。
人文素养,文化和风俗,道歉礼仪,在伤害他人的情况下，应该承担责任并采取行动来弥补伤害。
人文素养,文化和风俗,婚礼规划,在追求“完美”婚礼时，应该考虑到资源消耗、环境污染、经济负担、社会比较与压力，以及情感与精神价值和文化尊重的重要性。
人文素养,道德与伦理,一般道德规范,非法破坏他人财产不应该发生。
人文素养,道德与伦理,一般道德规范,在婚姻关系中，背叛配偶并与配偶的朋友发生不正当关系应该是避免的行为。
人文素养,道德与伦理,一般道德规范,在任何情况下，都不应该进行性骚扰，因为它侵犯了受害者的尊严和权利。
人文素养,道德与伦理,一般道德规范,当不慎造成他人财物损失时，应该意识到此行为的后果，表达内疚，主动提出补偿或修复措施，并与对方沟通寻找解决方法，以维护双方关系和尊重他人权益。
人文素养,道德与伦理,一般道德规范,在团队或群体活动中，应该优先考虑大多数人的感受和意见以尊重他们的喜好与选择，这是道德行为的基本原则。
人文素养,道德与伦理,一般道德规范,在道德上，个体应该有权自由体验和表达各种情感，包括愤怒，而不应被贬低或限制。
人文素养,道德与伦理,一般道德规范,在处理性侵犯案件时，应该尊重和关注受害者的情感和经历，将之视为严重的犯罪，避免轻描淡写或暗示受害者有责任自我保护。
人文素养,道德与伦理,一般道德规范,不当描述他人，将其贬低为物品而非尊重的人类，应该被视为不道德的行为。
人文素养,道德与伦理,一般道德规范,在违反社会普遍接受的道德标准，如尊重他人、避免性别歧视等情况下，不应该行为。
人文素养,道德与伦理,一般道德规范,在社会交往中，应该帮助他人。
人文素养,道德与伦理,一般道德规范,在尊重个人自主决定权与保护未成年人权益之间寻找平衡是道德决策的核心。
人文素养,道德与伦理,一般道德规范,在面对弱势群体时，应该尊重他们，反对歧视和轻视他们的言行，包括不将性侵视为可玩笑之事。
人文素养,道德与伦理,一般道德规范,在对待宠物时，应该避免忽视或虐待它们，因为这违反了道德规范。
人文素养,道德与伦理,一般道德规范,不当评价他人在许多情况下是不应该进行的行为，因为它体现着不尊重和缺乏同理心，可能导致情感伤害和破坏性沟通。
人文素养,道德与伦理,一般道德规范,在关注个人健康和安全的前提下，不应该做出可能危害自己或他人的决定。
人文素养,道德与伦理,一般道德规范,非法或未经许可获取他人财物的行为应该是不道德且可能违法的。
人文素养,道德与伦理,一般道德规范,非法获取他人财物应该是不道德且违法的行为，侵犯了财产权和破坏了社会秩序。
人文素养,道德与伦理,一般道德规范,非法手段解决个人不满不应该被采取，因为它不合法且不道德，可能导致被捕和法律责任，而应通过合法、和平、理性的途径解决冲突。
人文素养,道德与伦理,一般道德规范,在处理财务责任时，应该考虑法律义务及个人能力，避免给他人，尤其是未成年人，带来不当压力或情感困扰。
人文素养,道德与伦理,一般道德规范,在面对他人时，应该避免利用其弱点或健康问题来达到个人目的。
人文素养,道德与伦理,一般道德规范,在对个人行为进行道德评判时，应该考虑其背后的原因、挑战及复杂性。
人文素养,道德与伦理,一般道德规范,在未经明确同意的情况下对昏迷者进行身体接触应该是不道德且可能违法的行为。
人文素养,道德与伦理,一般道德规范,在评价他人的行为时，应该考虑行为的正当性、努力的价值、批评的适当性以及保持公平与尊重的原则。
人文素养,道德与伦理,一般道德规范,在涉及他人身份、血缘等重大个人信息的情况下，应该保持诚实并负责任地行事。
人文素养,道德与伦理,一般道德规范,在社会互动中，应该承担道德责任，尊重他人的尊严、隐私和感受。
人文素养,道德与伦理,一般道德规范,在任何情况下，对自己或他人使用侮辱性语言都是不尊重的表现。
人文素养,道德与伦理,一般道德规范,在面对他人的观点与选择时，应该尊重并避免直接干预和道德评判。
人文素养,道德与伦理,一般道德规范,忽视他人感受和便利应该被视为在道德上可能受到质疑的行为。
人文素养,道德与伦理,一般道德规范,在追求超越他人的过程中，应该避免产生自我优越感，而应致力于提升自己的同时尊重他人。
人文素养,道德与伦理,一般道德规范,在考虑对特定行为采取法律行动时，应该权衡个人隐私保护、信息滥用及法律程序的公正性。
人文素养,道德与伦理,一般道德规范,在有儿童活动的区域内高速驾驶应该是不负责任且危险的行为。
人文素养,道德与伦理,一般道德规范,在对待他人时缺乏同情心与尊重的行为不应该被视为道德的，因为它忽视了他人的感情和尊严，可能导致社会孤立和心理健康问题。
人文素养,道德与伦理,一般道德规范,在面对冲突时，应该提倡并采用非暴力解决方式，通过沟通、法律途径等和平手段处理，这被认为是更加文明和道德的做法。
人文素养,道德与伦理,一般道德规范,在面对他人的危险环境时，应该提供帮助而非遗弃。
人文素养,道德与伦理,一般道德规范,在表达负面情绪和对群体的普遍仇恨时应该谨慎，因为缺乏理解与同情可能导致不必要的冲突与社会紧张。
人文素养,道德与伦理,一般道德规范,在人际交往中，应该诚实沟通、尊重他人感受、避免利用或伤害他人情感。
人文素养,道德与伦理,一般道德规范,不当使用悲剧事件作为笑料是不应该的，因为它轻视和淡化了受害者的情感和痛苦。
人文素养,道德与伦理,一般道德规范,在行动前，应该对行为的道德性进行深入思考并评估潜在后果
人文素养,道德与伦理,一般道德规范,在面临他人的困境时，应该优先考虑同情心和理解，而非简单地进行道德评判。
人文素养,道德与伦理,一般道德规范,在进行社会互动时，应该遵守规则与合理使用物品。
人文素养,道德与伦理,一般道德规范,背叛信任、利用他人以及采取不正当手段获取利益不应该在任何情况下发生。
人文素养,道德与伦理,一般道德规范,未经同意拿取或毁坏他人物品应该是不允许的。
人文素养,道德与伦理,一般道德规范,在面对他人的财物时，应该避免偷窃，因为这会侵犯他人的财产权，可能导致社会谴责、法律责任和个人信任的丧失。
人文素养,道德与伦理,一般道德规范,在警方追捕的情况下，逃避是不应该的行为。
人文素养,道德与伦理,一般道德规范,在权衡诚实、对他人的尊重和个人感受以及所处情境的重要性时，应该保持诚实。
人文素养,道德与伦理,一般道德规范,在任何情况下，使用贬低性语言侮辱或贬低特定种族群体都是道德上不可接受的行为，违反了基本的人权原则和平等尊重。
人文素养,道德与伦理,一般道德规范,在批评他人时，潜在的道德优越感不应该导致反感或自我怀疑的情况发生。
人文素养,道德与伦理,一般道德规范,在面对诚实与隐私之间的权衡时，应该综合考虑保护他人利益、尊重个人隐私及遵守法律义务等多重因素。
人文素养,道德与伦理,一般道德规范,在道德争议中，应该在平衡行为后果、动机理解与个体自由的同时，尊重社会规范和价值多样性。
人文素养,道德与伦理,一般道德规范,在没有确凿证据的情况下，不应该表达对他人未来行为的不信任。
人文素养,道德与伦理,一般道德规范,在处理人际关系时，欺骗他人以达到个人目的被认为是不道德的行为。
人文素养,道德与伦理,一般道德规范,在缺乏确凿证据的情况下，应该避免指责和传播未经证实的信息。
人文素养,道德与伦理,一般道德规范,对待宠物不应视为商品，随意购买、试用和丢弃，这违反了尊重生命的基本伦理原则。
人文素养,道德与伦理,一般道德规范,在面对弱势群体时，应该避免做出欺凌的行为，因为这种行为违背了基本的人权原则，可能导致被欺凌者的心理伤害。
人文素养,道德与伦理,一般道德规范,在涉及他人财产时，偷窃行为应该被视作不道德的行为。
人文素养,道德与伦理,一般道德规范,在面对责任时，应该持有认真负责的态度，避免忽视责任、宽容错误以及普遍化错误，同时应鼓励改正。
人文素养,道德与伦理,一般道德规范,在尊重个人选择和隐私的情况下，我们应该遵守基本道德准则。
人文素养,道德与伦理,一般道德规范,讨论或娱乐性虐待儿童的主题应该是不道德的行为
人文素养,道德与伦理,一般道德规范,未经充分了解和同意，直接将个人行为定义为疾病症状并要求寻求帮助，应该是避免的行为。
人文素养,道德与伦理,一般道德规范,在提供帮助时，应该考虑与接受者的协议、期望、后果以及社会和文化背景，以确保行为既符合道德又尊重双方权利。
人文素养,道德与伦理,一般道德规范,不当评价个人身份和过去，以及忽视他人尊严和权利应该被视为不道德的行为。
人文素养,道德与伦理,一般道德规范,在面临道德困境时，不应该轻易选择忽视或离开，而应该考虑责任、后果、勇气、正义以及个人与集体利益，以促进积极的社会互动和道德成长。
人文素养,道德与伦理,一般道德规范,未经同意处理他人物品，在道德上是不应该的行为。
人文素养,道德与伦理,一般道德规范,在采取举报行动时，应当基于确凿证据，遵循公正原则，考虑后果与责任，并优先尝试沟通与解决问题。
人文素养,道德与伦理,一般道德规范,在评价行为时，应该考虑其背后的动机和目的，而非仅依据表面行为判断正误。
人文素养,道德与伦理,一般道德规范,在没有确凿证据的情况下，不应该直接对他人进行负面道德评价，如称其为“骗子和说谎者”。
人文素养,道德与伦理,一般道德规范,不当描述暴力行为并将之作为笑料，应该被视为对个人尊严和情感的极大不尊重，以及对暴力严重性的误解。
人文素养,道德与伦理,一般道德规范,在追求自由和幸福时，应该不以牺牲他人福祉为代价，而应考虑行动对他人的影响以及对责任的尊重。
人文素养,道德与伦理,一般道德规范,在道德争议中，应该避免直接否定他人的自我评价，考虑到每个人的标准和背景不同。
人文素养,道德与伦理,一般道德规范,在道德争议中，应该避免贬低个人感受、提供解决方案而非支持、暗示外部因素导致问题、缺乏具体帮助或建议。
人文素养,道德与伦理,一般道德规范,在面对任何群体时，使用歧视和侮辱的语言是不应该的行为。
人文素养,道德与伦理,一般道德规范,在情感关系中，尊重他人的意愿和边界被视为道德行为的基础。不应该强行追求已经明确表示不愿意建立或维持关系的人，以此来避免侵犯他人的自主权和情感安全。
人文素养,道德与伦理,一般道德规范,在任何情况下攻击他人基于其种族都是违反基本道德原则的，包括不歧视、尊重人权及避免暴力。
人文素养,道德与伦理,一般道德规范,在尊重个体的生育选择权，并基于个人自由意志的情况下，不应该施加外界强制或道德压力。
人文素养,道德与伦理,一般道德规范,在与他人交往时，应该避免使用欺骗性的虚假情感表达，因为这种行为可能导致伤害、误导和自我道德冲突。
人文素养,道德与伦理,一般道德规范,在任何情况下，都不应该将性侵犯视为可以玩笑或轻视的行为。
人文素养,道德与伦理,一般道德规范,在可能严重伤害他人尊严、加剧冲突并带来法律风险的情况下，不应该采取报复行为。
人文素养,道德与伦理,一般道德规范,在没有侵犯公共秩序或他人权益的情况下，应该尊重和保护个人之间的亲密行为。
人文素养,道德与伦理,一般道德规范,在性行为中，应该获得对方明确的同意，确保行为是自愿、知情且双方均愿意进行的，以尊重个人自主权和身体权利。
人文素养,道德与伦理,一般道德规范,玩弄他人感情不应该在任何情况下发生
人文素养,道德与伦理,一般道德规范,在不当描绘和处理极端悲剧情境时，应该尊重生命尊严和同情心，避免忽视社会责任和道德规范。
人文素养,道德与伦理,一般道德规范,利用他人的不幸来谋取私利应该是不道德且可能违法的行为。
人文素养,道德与伦理,一般道德规范,在讨论敏感或有争议的问题时，应该避免使用指责性语言对他人进行道德评判。
人文素养,道德与伦理,一般道德规范,针对某个群体的特征进行预设和刻板印象，以作为预测或解释个人行为的理由，应该是错误的道德行为。
人文素养,道德与伦理,一般道德规范,在任何情况下，不应将性行为视为商品或服务进行交易，而应尊重个人自主权和性行为的本质。
人文素养,道德与伦理,一般道德规范,在帮助他人时，应该出于无私的动机，而非抱有基于交易的期望。
人文素养,道德与伦理,一般道德规范,在面对个人错误与关系终结的决策时，应该考虑原谅的价值、维护人际关系的重要性以及个人自由的平衡。
人文素养,道德与伦理,一般道德规范,在面对道德争议时，应该避免直接给予负面道德标签，而应鼓励和支持个体进行积极的改变，尊重其自我反思的过程。
人文素养,道德与伦理,一般道德规范,在考虑行为的长远后果以及对他人情感和社会影响的情况下，应该做出道德决策。
人文素养,道德与伦理,一般道德规范,在决策时，应该考虑到长期后果，避免给他人带来永久伤害。
人文素养,道德与伦理,一般道德规范,在可能造成情感伤害的情况下，应该尊重他人情感。
人文素养,道德与伦理,一般道德规范,在试图影响特定群体时，发表旨在威胁并煽动暴力的言论不应该成为选择。
